Folder,Keyword,File Name,DOJ Page,context
DS-9,Romania,EFTA00540212.pdf,1,"From: Sarah K To: ion nicola Subject: Re: Date: Thu, 12 Apr 2012 13:29:29 +0000 HI Ion, I spoke to Jeffrey and he said it's OK for you to go to Romania...if we do any project soon, and he said something like going to the island tuesday(today).., but then i told him that if i go island then i have to go romania...if he doesnt have any project in mind for now, maybe i can just go romania and finish the visa issue. thank's a lot, ion EFTA00540212"
DS-11,Romania,EFTA02305709.pdf,1,"From: Sarah K Sent: Thursday, April 12, 2012 1:29 PM To: ion nicola Subject: Re: HI lon, I spoke to Jeffrey and he said it's OK for =ou to go to Romania...if =e do any project soon, and he said something like going to the island =uesday(today).., but then i told him that if i go island then i have to =0 romania...if he doesnt have any project in mind for =ow, maybe i can just go romania and finish the visa issue."
DS-11,Romania,EFTA02305691.pdf,1,"if =e do any project soon, and he said something like going to the island =uesday(today).., but then i told him that if i go island then i have to =0 romania...there because i will not be able to comeback in us =ecause i dont have visa in my passport. to put visa in my =assport i have to go american embassy in romania...if he doesnt have any project in mind for =ow, maybe i can just go romania and finish the visa issue."
DS-9,Romania,EFTA00540204.pdf,1,"if we do any project soon, and he said something like going to the island tuesday(today).., but then i told him that if i go island then i have to go romania...there because i will not be able to comeback in us because i dont have visa in my passport. to put visa in my passport i have to go american embassy in romania...if he doesnt have any project in mind for now, maybe i can just go romania and finish the visa issue. thank's a lot, ion EFTA00540204"
DS-10,Romania,EFTA02065352.pdf,1,"To: From: Sent: Sat 12/19/2015 1:10:13 AM Subject: Re: what airport in romania? thank you!...thank you, EFTA_R1_00615870 EFTA02065352 From: Sent: Friday, December 18, 2015 6:47 PM To: Subject: Re: what airport in romania?...thank you, From: Sent: Friday, December 18, 2015 6:28 PM To: Subject: what airport in romania? what airport in Romania?!"
DS-10,Romania,EFTA02065193.pdf,1,"To: From: ion nicola Sent: Fri 12/18/2015 11:49:46 PM Subject: Re: what airport in romania? thank you!...From: Sent: Friday, December 18, 2015 6:47 PM To: ion nicola Subject: Re: what airport in romania?...what airport in Romania?! thanks Begin forwarded message: From: ""jeffrey E."""
DS-10,Romania,EFTA02095346.pdf,1,"Besides, i am in Romania.. i have my ticket back to New York oct 15th, so maybe better to go Paris directly from Romania(Bucharest) Thank you, Ion Sent"
DS-10,Romania,EFTA02065738.pdf,1,"To: From: ion nicola Sent: Sat 12/19/2015 4:23:11 PM Subject: Re: what airport in romania?...ion From Sent: Saturday, December 19, 2015 8:40 AM To: lon Nicola Subject: Re: what airport in romania?...what airport in Romania?! thanks Begin forwarded message: From: ""jeffrey E."""
DS-10,Romania,EFTA01872282.pdf,1,"To: Jeffrey Epstein[jeevacation@gmail.com] From: Sent: Mon 4/9/2012 3:04:26 AM Subject: RE: hi jeffrey, i was thinking maybe go to romania and put visa...passport in case you dont have any project in mind for me to do now.. you said something like going to the island tuesday..., i could do that, and then go romania"
DS-9,Romania,EFTA00933062.pdf,1,"Jeffrey Epstein Subject: RE: Date: Mon, 09 Apr 2012 03:04:26 +0000 Importance Normal : hi jeffrey, i was thinking maybe go to romania...passport in case you dont have any project in mind for me to do now... you said something like going to the island tuesday..., i could do that, and then go romania"
DS-10,Romania,EFTA02095303.pdf,3,"I told already Jeffrey this Besides, i am in Romania , i have my ticket back to New York oct 15th, so maybe better to go Paris directly from Romania (Bucharest"
DS-10,Romania,EFTA02065767.pdf,3,"ion From Sent: Saturday, December 19, 2015 8:40 AM To: lon Nicola Subject: Re: what airport in romania?...thank you, ion From Sent: Friday, December 18, 2015 6:47 PM To: ion nicola Subject: Re: what airport in romania?...thank you, ion From Sent: Friday, December 18, 2015 6:28 PM To: lon Nicola Subject: what airport in romania? what airport in Romania?! thanks."
DS-10,Romania,EFTA02001160.pdf,3,"@gmail.com]; Jeffrey Epsteinjeevacation@gmail.com] From: ion nicola Sent: Mon 4/9/2012 3:04:26 AM Subject: RE: hi jeffrey, i was thinking maybe go to romania...passport in case you dont have any project in mind for me to do now.. you said something like going to the island tuesday..., i could do that, and then go romania"
DS-11,Romania,EFTA02433705.pdf,3,"November 30, 2009 10:03 AM To: Lesley Groff; Martin Nowak Subject: Re: Jeffrey Epstein Hi Lesley, The two girls were both from the University of lasi in Romania...It is the oldest University in Romania, in what used to be our capital a few centuries ago. Please let me know if Jeffrey needs more information....Jeffrey requested I get the name of the University in Romania that you ""got the people from"" Can you please let me know!"
DS-11,Romania,EFTA02442244.pdf,3,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania [popescu_ioana_carmen@yahoo.com] Dr. lulian Rusu [rusu_iulian...lasi, Faculty of Industrial Chemistry Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania...; and Principal researcher, Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania [trausan@cs.pub.ro http://www.racai.ro/"
DS-9,Romania,EFTA00774664.pdf,3,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania Dr. lulian Rusu Professor at Technical University lasi, Faculty...of Industrial Chemistry Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania; and Principal...researcher, Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania http://www.racai.ro/~trausan] Chuck suggested Tegmark"
DS-10,Romania,EFTA01828198.pdf,3,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania Dr. lulian Rusu Professor at Technical University lasi, Faculty...of Industrial Chemistry Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania; and Principal...researcher, Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania http://www.racai.ro/~trausan] EFTA_R1_00203572 EFTA01828198"
DS-10,Romania,EFTA02095337.pdf,3,"I told already Jeffrey this Besides, i am in Romania , i have my ticket back to New York oct 15th, so maybe better to go Paris directly from Romania (Bucharest"
DS-11,Romania,EFTA02524469.pdf,3,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania < ] * Dr. lulian Rusu < > ] Professor at Technical University...Faculty of Industrial Chemistry * Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania...; and Principal researcher, Romanian Aca=emy Research Institute for Artificial Intelligence, Bucharest, Romania ^ http://www.racai.ro/*trausan]<=font>"
DS-9,Romania,EFTA00881433.pdf,3,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania Dr. lulian Rusu Professor at Technical University lasi, Faculty...of Industrial Chemistry Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania; and Principal...researcher, Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania [trausan@cs.pub.ro http://www.racai.ro/-trausan) Chuck"
DS-11,Romania,EFTA02568127.pdf,4,"From: Lesley Groff < > Sent: Monday, April 1, 2013 8:05 PM To: Epstein Jeffrey Subject: lon the Painter lon is in Romania he fell while skiing and hurt...his shoulder and it =as affected his hand as well he has gone to Romania for treatment =ince he does not have insurance here."
DS-11,Romania,EFTA02412588.pdf,4,"tel fax cell From: Corina Tarnita Sent: Thursday, April 09, 2009 9:25 AM To: Rich Kahn Subject: Re: Hi Rich, Here is the information for the girl from Romania..., who will receive $10,000. the bank's name and address: BANCA TRANSILVANIA GHICA VODA STREET, No. 3A EFTA_R1_01474241 EFTA02412588 IASI, ROMANIA the"
DS-9,Romania,EFTA00392976.pdf,4,"So sorry to hear this Ion I do hope you are feeling better soon Nice that you are back in Romania though I am sure....Thank you, Lesley On Apr 1, 2013, at 3:57 PM, ion nicola wrote: hi lesley, i'm sorry, i am not in new york. i am in romania. i left two weeks ago.. i told...told jeffrey.. i left because like a month ago a went skiing and i fell and i hurt my right shoulder and after that i couldnt use my hand, so i went romania"
DS-10,Romania,EFTA02065139.pdf,4,To: lon Nicola From: Sent: Fri 12/18/2015 11:28:42 PM Subject: what airport in romania? what airport in Romania?!
DS-10,Romania,EFTA02143091.pdf,4,"So sorry to hear this Ion I do hope you are feeling better soon Nice that you are back in Romania though I am sure....when you are feeling better and be back to NY Thank you, On Apr 1, 2013, at 3:57 PM, ion nicola wrote: hi , i'm sorry, i am not in new york. i am in romania...told jeffrey.. i left because like a month ago a went skiing and i fell.. and i hurt my right shoulder and after that i couldnt use my hand, so i went romania"
DS-10,Romania,EFTA01827784.pdf,4,"cell From: Corina Tarnita [mailto Sent: Thursday, April 09, 2009 9:25 AM To: Rich Kahn Subject: Re: Hi Rich, Here is the information for the girl from Romania...EFTA_R1_00203067 EFTA01827784 the bank's name and address: BANCA TRANSILVANIA GHICA VODA STREET, No. 3A IASI, ROMANIA the SWIFT code: BTRLRO22ISA the"
DS-9,Romania,EFTA00562760.pdf,4,"From: To: Date: Tue, 05 Jul 2011 16:03:54 +0000 Did Ion respond to you about going to PB to do the wall before he goes to Romania? EFTA00562760"
DS-9,Romania,EFTA01130950.pdf,4,"Alexis is a Portuguese national who lives in Madrid (Spain) and Bucharest (Romania). Alexis is married and has two children....Its team of 35 people based in Bucharest (Romania), Madrid (Spain) and Dublin (Ireland) is dedicated to inventing new worlds of epic fun....In Romania with his leadership skill he has formed an incredible team that is behind one of the most successful European start ups of the past 3 years:"
DS-10,Romania,EFTA01379415.pdf,4,"22 December 2017 EM Currency Handbook 2018: Still Fuel in the Tank Romania The leu was introduced in 1867....Romania left the gold EUR/RON and USD/RON exchange rates standard in 1914 and the leu's value fell....At the 0.0 0.0 end of October 2004, the National Bank of Romania 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 (NBR) abandoned"
DS-9,Romania,EFTA00361526.pdf,4,"Sent from my iPhone On Oct 2, 2014, at 1:18 PM, ion nicola wrote: hello yes, that's good. the airport i will fly out is in bucharest(romania) and its called...i would like to ask you something: after i finish the job in paris would you get a ticket for me from paris to new york so i don't have to go back in romania"
DS-11,Romania,EFTA02435918.pdf,5,Groff Sent: Wed 11/25/2009 4:15:36 PM Subject: Martin Nowak LM and emailed Martin Nowak re could he please let me know the name of the university in romania
DS-10,Romania,EFTA01920798.pdf,5,He will be back from Venice & Romania by now (Si is Josh Ramo's friend) Si: EFTA_R1_00364068 EFTA01920798
DS-9,Romania,EFTA00361527.pdf,5,He is asking if we can purchase a ticket back to NY vs back to Romania on 16th Sent from my iPhone EFTA00361527
DS-10,Romania,EFTA02094483.pdf,5,He is asking if we can purchase a ticket back to NY vs back to Romania on 16th Sent from my iPhone EFTA_R1_00695331 EFTA02094483
DS-9,Romania,EFTA00562765.pdf,5,I know he needs to go to Romania and wondering if we know when he is leaving LSJ? Did he by chance do samples for the walls for room 4? EFTA00562765
DS-10,Romania,EFTA01748191.pdf,5,He is asking if we can purchase a ticket back to NY vs back to Romania on 16th Sent from my iPhone EFTA_R1_00043151 EFTA01748191
DS-9,Romania,EFTA00657491.pdf,5,He is asking if we can purchase a ticket back to NY vs back to Romania on 16th Sent from my iPhone EFTA00657491
DS-10,Romania,EFTA02094469.pdf,5,"Sent from my iPhone On Oct 2, 2014, at 1:18 PM, ion nicola wrote: hello yes, that's good. the airport i will fly out is in bucharest(romania) and its called...i would like to ask you something: after i finish the job in paris would you get a ticket for me from paris to new york so i don't have to go back in romania"
DS-10,Romania,EFTA02143102.pdf,5,"I hope it does thanks On Apr 1, 2013, at 3:57 PM, ion nicola wrote: hi i'm sorry, i am not in new york. i am in romania. i left two weeks ago.. i told...told jeffrey.. i left because like a month ago a went skiing and i fell. and i hurt my right shoulder and after that i couldnt use my hand, so i went romania"
DS-10,Romania,EFTA02024287.pdf,5,"Epstein[jeevacation@gmail.com] From: ion nicola Sent: Thur 4/5/2012 2:37:55 AM Subject: RE: i think if i go island, after that from there i have to go romania...in the us because i dont have visa in my passport. i got the ol visa, and i'm legal here for three years but if i go out of the country i have to go romania"
DS-10,Romania,EFTA02069867.pdf,6,"i hope everything is fine i am still in romania but can you please let jeffrey know that i would be able to come new york (or paris) after the end of this...> sorry i am not in ny, i am still in romania."
DS-11,Romania,EFTA02412719.pdf,6,"El Sent: Thursday, April 09, 2009 9:25 AM To: Rich Kahn Subject: Re: Hi Rich, EFTA_R1_01474411 EFTA02412720 Here is the information for the girl from Romania..., who will receive $10,000. the bank's name and address: BANCA TRANSILVANIA GHICA VODA STREET, No. 3A IASI, ROMANIA the SWIFT code the IBAN code of my"
DS-10,Romania,EFTA02094607.pdf,6,"a ticket for you Sent from my iPhone On Oct 2, 2014, at 1:18 PM, ion nicola wrote: hello yes, that's good. the airport i will fly out is in bucharest(romania...i would like to ask you something: after i finish the job in paris would you get a ticket for me from paris to new york so i don't have to go back in romania"
DS-10,Romania,EFTA02143156.pdf,6,"I hope it does thanks On Apr 1, 2013, at 3:57 PM, ion nicola wrote: hi i'm sorry, i am not in new york. i am in romania. i left two weeks ago.. i told...told jeffrey.. i left because like a month ago a went skiing and i fell.. and i hurt my right shoulder and after that i couldnt use my hand, so i went romania"
DS-9,Romania,EFTA00577407.pdf,6,"photograph tv.com] "" To: "" <@> Subject: Here are some pics for Jeffrey Date: Sat, 01 Jan 4501 05:00:00 +0000 here are some of the girls I have from romania"
DS-11,Romania,EFTA02442419.pdf,6,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania Dr. lulian Rusu [ Professor at Technical University lasi, Faculty...of Industrial Chemistry Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania; and Principal...Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania Chuck suggested Tegmark at MIT, and I think that we might be able to"
DS-10,Romania,EFTA01991930.pdf,6,"at some point i have to go back romania to american embassy anyway to put visa in my passport.. so somehow doesnt matter.....On Wed, Apr 4, 2012 at 10:37 PM, ion nicola wrote: i think if i go island, after that from there i have to go romania because i...in the us because i dont have visa in my passport. i got the ol visa, and i'm legal here for three years but if i go out of the country i have to go romania"
DS-9,Romania,EFTA00774804.pdf,6,"Organic Chemistry Center ""Constantin Nenitescu"" from Romanian Academy, Bucharest, Romania Dr. lulian Rusu Professor at Technical University lasi, Faculty...of Industrial Chemistry EFTA00774804 Stefan Trausan-Matu, Professor, ""Politehnica"" University of Bucharest, Computer Science Department, Bucharest, Romania...; and Principal researcher, Romanian Academy Research Institute for Artificial Intelligence, Bucharest, Romania http://www.racai.ro/~trausan] Chuck suggested"
DS-9,Romania,EFTA00932390.pdf,6,"at some point i have to go back romania to american embassy anyway to put visa in my passport.. so somehow doesnt matter.....On Wed, Apr 4, 2012 at 10:37 PM, ion nicola < > wrote: i think if i go island, after that from there i have to go romania because i would not be able to...in the us because i dont have visa in my passport. i got the 01 visa, and i'm legal here for three years but if i go out of the country i have to go romania"
DS-10,Romania,EFTA01870970.pdf,6,"at some point i have to go back romania to american embassy anyway to put visa in my passport.. so somehow doesnt matter.....On Wed, Apr 4, 2012 at 10:37 PM, ion nicola wrote: i think if i go island, after that from there i have to go romania because i would not be able to come...in the us because i dont have visa in my passport. i got the ol visa, and i'm legal here for three years but if i go out of the country i have to go romania"
DS-9,Romania,EFTA00337205.pdf,8,"i hope everything is fine > i am still in romania but can you please let jeffrey know that i would be able to come new york (or paris) after the end of...>> sorry i am not in ny, i am still in romania."
DS-10,Romania,EFTA01827398.pdf,8,"mailte Sent: Thursday, April 09, 2009 9:25 AM To: Rich Kahn Subject: Re: Hi Rich, EFTA_R1_00202518 EFTA01827399 Here is the information for the girl from Romania..., who will receive $10,000. the bank's name and address: BANCA TRANSILVANIA GHICA VODA STREET, No. 3A IASI, ROMANIA the SWIFT code: BTRLRO22ISA the IBAN"
DS-10,Romania,EFTA01996462.pdf,8,"send it to you. i didnt have my camera with me today. anyway i hope i will be done with everything friday or saturday. thank you for letting me go to romania.... sorry.. i dont know if you still want to buy my ticket to romania, but maybe i should get it these days because it is getting expensive, i want to leave"
DS-9,Romania,EFTA00733810.pdf,8,"Date: Wed, 11 Aug 2010 10:25:16 +0000 Importance: Normal hi jeffrey, sorry i couldnt meet you last week, i just saw e-mail about meeting. i'm still in romania.... anyway, i wanted to ask you a favor if you dont mind and if you are not in a rush with doing some rooms.. i need to stay somehow a little longer in romania"
DS-9,Romania,EFTA00672691.pdf,8,"send it to you. i didnt have my camera with me today.. anyway i hope il will be done with everything friday or saturday. thank you for letting me go to romania.... sorry.., dont know if you still want to buy my ticket to romania, but maybe i should get it these days because it is getting expensive, i want to leave"
